location,present_2023_DRY__n_hours,present_2023_DRY__temp_mean_c,present_2023_DRY__temp_summer_mean_c,present_2023_DRY__temp_summer_night_mean_c,present_2023_DRY__ghi_kwh_per_m2,present_2023_DRY__dni_kwh_per_m2,present_2023_DRY__dhi_kwh_per_m2,present_2023_DRY__summer_midday_ghi_mean_w_per_m2,present_2023_DRY__hdd18_c_hours,present_2023_DRY__cdd24_c_hours,present_2023_DRY__hours_above_26c,present_2023_DRY__hours_below_0c,present_2023_DRY__wind_mean_m_per_s,future_2060_RCP85_DRY__n_hours,future_2060_RCP85_DRY__temp_mean_c,future_2060_RCP85_DRY__temp_summer_mean_c,future_2060_RCP85_DRY__temp_summer_night_mean_c,future_2060_RCP85_DRY__ghi_kwh_per_m2,future_2060_RCP85_DRY__dni_kwh_per_m2,future_2060_RCP85_DRY__dhi_kwh_per_m2,future_2060_RCP85_DRY__summer_midday_ghi_mean_w_per_m2,future_2060_RCP85_DRY__hdd18_c_hours,future_2060_RCP85_DRY__cdd24_c_hours,future_2060_RCP85_DRY__hours_above_26c,future_2060_RCP85_DRY__hours_below_0c,future_2060_RCP85_DRY__wind_mean_m_per_s,future_2060_RCP85_HEAT__n_hours,future_2060_RCP85_HEAT__temp_mean_c,future_2060_RCP85_HEAT__temp_summer_mean_c,future_2060_RCP85_HEAT__temp_summer_night_mean_c,future_2060_RCP85_HEAT__ghi_kwh_per_m2,future_2060_RCP85_HEAT__dni_kwh_per_m2,future_2060_RCP85_HEAT__dhi_kwh_per_m2,future_2060_RCP85_HEAT__summer_midday_ghi_mean_w_per_m2,future_2060_RCP85_HEAT__hdd18_c_hours,future_2060_RCP85_HEAT__cdd24_c_hours,future_2060_RCP85_HEAT__hours_above_26c,future_2060_RCP85_HEAT__hours_below_0c,future_2060_RCP85_HEAT__wind_mean_m_per_s,delta_future_dry_vs_present__n_hours,delta_future_heat_vs_present__n_hours,delta_future_heat_vs_future_dry__n_hours,pct_future_dry_vs_present__n_hours,pct_future_heat_vs_present__n_hours,delta_future_dry_vs_present__temp_mean_c,delta_future_heat_vs_present__temp_mean_c,delta_future_heat_vs_future_dry__temp_mean_c,pct_future_dry_vs_present__temp_mean_c,pct_future_heat_vs_present__temp_mean_c,delta_future_dry_vs_present__temp_summer_mean_c,delta_future_heat_vs_present__temp_summer_mean_c,delta_future_heat_vs_future_dry__temp_summer_mean_c,pct_future_dry_vs_present__temp_summer_mean_c,pct_future_heat_vs_present__temp_summer_mean_c,delta_future_dry_vs_present__temp_summer_night_mean_c,delta_future_heat_vs_present__temp_summer_night_mean_c,delta_future_heat_vs_future_dry__temp_summer_night_mean_c,pct_future_dry_vs_present__temp_summer_night_mean_c,pct_future_heat_vs_present__temp_summer_night_mean_c,delta_future_dry_vs_present__ghi_kwh_per_m2,delta_future_heat_vs_present__ghi_kwh_per_m2,delta_future_heat_vs_future_dry__ghi_kwh_per_m2,pct_future_dry_vs_present__ghi_kwh_per_m2,pct_future_heat_vs_present__ghi_kwh_per_m2,delta_future_dry_vs_present__dni_kwh_per_m2,delta_future_heat_vs_present__dni_kwh_per_m2,delta_future_heat_vs_future_dry__dni_kwh_per_m2,pct_future_dry_vs_present__dni_kwh_per_m2,pct_future_heat_vs_present__dni_kwh_per_m2,delta_future_dry_vs_present__dhi_kwh_per_m2,delta_future_heat_vs_present__dhi_kwh_per_m2,delta_future_heat_vs_future_dry__dhi_kwh_per_m2,pct_future_dry_vs_present__dhi_kwh_per_m2,pct_future_heat_vs_present__dhi_kwh_per_m2,delta_future_dry_vs_present__summer_midday_ghi_mean_w_per_m2,delta_future_heat_vs_present__summer_midday_ghi_mean_w_per_m2,delta_future_heat_vs_future_dry__summer_midday_ghi_mean_w_per_m2,pct_future_dry_vs_present__summer_midday_ghi_mean_w_per_m2,pct_future_heat_vs_present__summer_midday_ghi_mean_w_per_m2,delta_future_dry_vs_present__hdd18_c_hours,delta_future_heat_vs_present__hdd18_c_hours,delta_future_heat_vs_future_dry__hdd18_c_hours,pct_future_dry_vs_present__hdd18_c_hours,pct_future_heat_vs_present__hdd18_c_hours,delta_future_dry_vs_present__cdd24_c_hours,delta_future_heat_vs_present__cdd24_c_hours,delta_future_heat_vs_future_dry__cdd24_c_hours,pct_future_dry_vs_present__cdd24_c_hours,pct_future_heat_vs_present__cdd24_c_hours,delta_future_dry_vs_present__hours_above_26c,delta_future_heat_vs_present__hours_above_26c,delta_future_heat_vs_future_dry__hours_above_26c,pct_future_dry_vs_present__hours_above_26c,pct_future_heat_vs_present__hours_above_26c,delta_future_dry_vs_present__hours_below_0c,delta_future_heat_vs_present__hours_below_0c,delta_future_heat_vs_future_dry__hours_below_0c,pct_future_dry_vs_present__hours_below_0c,pct_future_heat_vs_present__hours_below_0c,delta_future_dry_vs_present__wind_mean_m_per_s,delta_future_heat_vs_present__wind_mean_m_per_s,delta_future_heat_vs_future_dry__wind_mean_m_per_s,pct_future_dry_vs_present__wind_mean_m_per_s,pct_future_heat_vs_present__wind_mean_m_per_s
ZUESTA,8760.0,12.484235159817352,21.62359601449275,18.212318840579712,1276.838,1357.762,516.366,559.6878881987577,59487.3,2496.0,457.0,402.0,1.5549771689497718,8760.0,13.285422374429224,22.586413043478263,19.7713768115942,1125.141,882.642,572.266,499.0745341614907,54836.399999999994,2963.0,501.0,304.0,2.09925799086758,8760.0,13.72829908675799,24.43315217391304,21.066666666666666,1174.299,905.456,557.575,546.0776397515529,54366.59999999999,5308.699999999999,804.0,304.0,2.0981963470319633,0.0,0.0,0.0,0.0,0.0,0.8011872146118719,1.2440639269406386,0.4428767123287667,6.417591501244947,9.965079246062837,0.962817028985512,2.809556159420289,1.846739130434777,4.45262216488046,12.993010771831125,1.5590579710144894,2.854347826086954,1.2952898550724647,8.560458361516712,15.67262165280705,-151.6969999999999,-102.53899999999999,49.1579999999999,-11.880677110173718,-8.030697707931623,-475.1199999999999,-452.3059999999999,22.813999999999965,-34.99287798597986,-33.31261296162361,55.89999999999998,41.20900000000006,-14.690999999999917,10.825654671299036,7.980579666360694,-60.613354037267015,-13.610248447204867,47.00310559006215,-10.829849156167885,-2.4317568298657846,-4650.900000000009,-5120.700000000012,-469.8000000000029,-7.818307437049603,-8.60805583712828,467.0,2812.699999999999,2345.699999999999,18.709935897435898,112.68830128205124,44.0,347.0,303.0,9.62800875273523,75.92997811816193,-98.0,-98.0,0.0,-24.378109452736318,-24.378109452736318,0.5442808219178084,0.5432191780821916,-0.001061643835616799,35.002496035708,34.934222117812865
BASSTA,8760.0,13.014406392694061,21.622418478260872,18.469565217391306,1290.9,1491.245,481.965,544.2158385093168,55514.899999999994,2455.2999999999997,485.0,324.0,1.8884132420091324,8760.0,13.420616438356165,22.285643115942026,19.145833333333332,1131.056,909.859,612.346,515.0776397515529,53488.5,3029.6,528.0,209.0,2.247716894977169,8760.0,13.690547945205479,24.114719202898552,20.343840579710143,1287.601,1042.34,617.393,665.7127329192547,54404.899999999994,5049.4,791.0,209.0,2.151746575342466,0.0,0.0,0.0,0.0,0.0,0.40621004566210317,0.6761415525114174,0.2699315068493142,3.121233757462335,5.195331481972048,0.6632246376811537,2.49230072463768,1.8290760869565261,3.067300905067387,11.52646604792814,0.6762681159420261,1.874275362318837,1.198007246376811,3.6615269930947734,10.147912743251707,-159.84400000000005,-3.298999999999978,156.54500000000007,-12.382368889921763,-0.2555581377333626,-581.3859999999999,-448.905,132.48099999999988,-38.98661856368336,-30.102699422294798,130.38100000000003,135.42800000000005,5.0470000000000255,27.051964354258097,28.099135829365213,-29.138198757763917,121.49689440993791,150.63509316770183,-5.354162208431403,22.325130180469365,-2026.3999999999942,-1110.0,916.3999999999942,-3.650191209927415,-1.999463207175011,574.3000000000002,2594.1,2019.7999999999997,23.39021708141572,105.65307701706513,43.0,306.0,263.0,8.8659793814433,63.09278350515464,-115.0,-115.0,0.0,-35.49382716049383,-35.49382716049383,0.35930365296803646,0.2633333333333334,-0.09597031963470304,19.02674928215203,13.944687925041565
KLO,8760.0,10.632568493150686,19.33600543478261,14.831884057971015,1301.261,1428.398,499.664,575.9270186335403,72004.0,1504.8,287.0,854.0,2.443436073059361,8760.0,11.624303652968036,20.27395833333333,16.375,1115.578,851.026,610.362,517.3633540372671,64793.600000000006,1694.2,315.0,621.0,2.3427511415525113,8760.0,12.159931506849315,22.215307971014493,17.82336956521739,1127.926,776.157,689.349,550.7173913043479,63382.6,3206.8999999999996,533.0,621.0,2.2274429223744288,0.0,0.0,0.0,0.0,0.0,0.9917351598173507,1.5273630136986291,0.5356278538812784,9.327333846532088,14.364948739173698,0.9379528985507193,2.879302536231883,1.9413496376811636,4.850810068885691,14.890886051637345,1.5431159420289848,2.9914855072463755,1.4483695652173907,10.404045339065853,20.169288645690827,-185.683,-173.33500000000004,12.347999999999956,-14.269466309987004,-13.320540614065898,-577.372,-652.2409999999999,-74.86899999999991,-40.4209471029783,-45.66241341698881,110.69799999999998,189.68500000000006,78.98700000000008,22.15448781581222,37.9625108072625,-58.56366459627327,-25.20962732919247,33.3540372670808,-10.16859128005888,-4.377226022318852,-7210.399999999994,-8621.400000000001,-1411.0000000000073,-10.013888117326808,-11.973501472140438,189.4000000000001,1702.0999999999997,1512.6999999999996,12.586390217969171,113.11137692716639,28.0,246.0,218.0,9.75609756097561,85.71428571428571,-233.0,-233.0,0.0,-27.283372365339577,-27.283372365339577,-0.10068493150684965,-0.2159931506849322,-0.11530821917808254,-4.120628839729977,-8.839729963325496
RUE,8760.0,10.602796803652968,18.757336956521737,15.884420289855074,1306.898,1457.581,513.785,555.7701863354038,70873.6,841.0,177.0,862.0,2.2940867579908675,8760.0,11.593333333333332,20.17173913043478,17.40253623188406,1102.807,829.704,621.747,504.111801242236,64536.100000000006,1319.8,244.0,622.0,2.430296803652968,8760.0,12.246050228310501,22.179981884057973,19.231340579710146,1127.913,882.586,613.345,536.3571428571429,62207.8,2654.4,485.0,622.0,2.480947488584475,0.0,0.0,0.0,0.0,0.0,0.9905365296803641,1.6432534246575337,0.6527168949771696,9.342219303298313,15.498301581063833,1.414402173913043,3.4226449275362363,2.0082427536231933,7.540527619627102,18.246966162999048,1.5181159420289863,3.3469202898550723,1.828804347826086,9.557263748545886,21.070459159234506,-204.0909999999999,-178.9849999999999,25.105999999999995,-15.616444435602467,-13.695406986620219,-627.877,-574.9949999999999,52.88200000000006,-43.07664548316698,-39.44857953005698,107.96199999999999,99.56000000000006,-8.40199999999993,21.013069669219615,19.377755286744467,-51.65838509316774,-19.413043478260875,32.24534161490686,-9.29491836073269,-3.4929983571564285,-6337.5,-8665.800000000003,-2328.300000000003,-8.941975573415206,-12.227119830232981,478.79999999999995,1813.4,1334.6000000000001,56.9322235434007,215.6242568370987,67.0,308.0,241.0,37.85310734463277,174.01129943502823,-240.0,-240.0,0.0,-27.842227378190255,-27.842227378190255,0.1362100456621005,0.18686073059360764,0.05065068493150715,5.937440909226622,8.14532100596134
