station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
BASSTA,2009,1,1,0,1.4,,,,,,,,988.1,,1.6,,1,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,1,1.5,,,,,,,,988.5,,1.1,,1,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,2,1.4,,,,,,,,989,,0.7,,1,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,3,1.5,,,,,,,,989.2,,1.1,,1,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,4,1.2,,,,,,,,989.5,,1,,1,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,5,1,,,,,,,,989.5,,0.7,,1,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,6,1.2,,,,,,,,990,,1.3,,1,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,7,0.9,,,,,,,,990,,1.9,,4,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,8,0.8,,,,,,,,990,,1.4,,59,0,0,0,0,0,0,,,,
BASSTA,2009,1,1,9,1.6,,,,,,,,990.2,,1,,155,1506.5,25.6,0,0,0,0,,,,
BASSTA,2009,1,1,10,2.3,,,,,,,,990,,2.6,,240,998.6,39.6,0,0,0,0,,,,
BASSTA,2009,1,1,11,2.6,,,,,,,,989.4,,3.3,,295,836.6,57.9,0,0,0,0,,,,
BASSTA,2009,1,1,12,3.3,,,,,,,,988.9,,1.6,,289,540.6,111.9,0,0,0,0,,,,
BASSTA,2009,1,1,13,3.4,,,,,,,,988.4,,1.6,,243,283.7,149.4,0,0,0,0,,,,
BASSTA,2009,1,1,14,3.4,,,,,,,,988.1,,1.6,,132,30.9,123,0,0,0,0,,,,
BASSTA,2009,1,1,15,2.5,,,,,,,,988.1,,2,,47,3.1,46.3,0,0,0,0,,,,
