station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
BASSTA,2010,1,1,0,4.3,,,,,,,,954.9,,2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,1,4.3,,,,,,,,954.5,,1.9,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,2,4.2,,,,,,,,954.1,,1.5,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,3,3.7,,,,,,,,953.7,,1.8,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,4,3.3,,,,,,,,953.4,,1.2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,5,3.7,,,,,,,,953.2,,1.7,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,6,3.1,,,,,,,,953.2,,1.2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,7,2.7,,,,,,,,953.4,,1.1,,1,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,8,2.8,,,,,,,,954,,1.6,,15,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,9,3.3,,,,,,,,954.6,,1.5,,32,0,47,0,0,0,0,,,,
BASSTA,2010,1,1,10,3.7,,,,,,,,955.3,,0.9,,35,0,48,0,0,0,0,,,,
BASSTA,2010,1,1,11,4,,,,,,,,955.3,,0.4,,43,0,57,0,0,0,0,,,,
BASSTA,2010,1,1,12,4.4,,,,,,,,955.5,,0.8,,40,0,54,0,0,0,0,,,,
BASSTA,2010,1,1,13,4.5,,,,,,,,956.1,,1.1,,16,0,31,0,0,0,0,,,,
BASSTA,2010,1,1,14,4.7,,,,,,,,957.2,,2,,12,0,29,0,0,0,0,,,,
BASSTA,2010,1,1,15,4.2,,,,,,,,958.7,,2.9,,3,0,24,0,0,0,0,,,,
BASSTA,2010,1,1,16,2.9,,,,,,,,960.1,,2.8,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,17,2,,,,,,,,961.6,,3.3,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,18,1.7,,,,,,,,963.1,,3.8,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,19,1.5,,,,,,,,964.7,,5,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,20,0.9,,,,,,,,966.4,,5.1,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,21,0.4,,,,,,,,968.1,,4.7,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,22,0.2,,,,,,,,969.2,,3.9,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,1,23,-0.1,,,,,,,,970.1,,3.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,0,-0.5,,,,,,,,970.9,,3.3,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,1,-0.6,,,,,,,,971.8,,3.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,2,-0.6,,,,,,,,972.7,,4.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,3,-0.7,,,,,,,,973.6,,4,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,4,-0.8,,,,,,,,974.3,,5.2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,5,-1,,,,,,,,975.4,,4,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,6,-1.3,,,,,,,,976.1,,3.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,7,-1.3,,,,,,,,977,,3,,2,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,8,-1.6,,,,,,,,978.2,,2.9,,24,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,9,-1.6,,,,,,,,979.3,,3.3,,146,719.7,84,0,0,0,0,,,,
BASSTA,2010,1,2,10,-0.8,,,,,,,,980,,2.9,,248,775.5,92,0,0,0,0,,,,
BASSTA,2010,1,2,11,-0.4,,,,,,,,980.4,,3.3,,263,594.8,94,0,0,0,0,,,,
BASSTA,2010,1,2,12,0,,,,,,,,980.9,,3.1,,287,593.6,92,0,0,0,0,,,,
BASSTA,2010,1,2,13,-0.1,,,,,,,,981.6,,3.5,,254,468.1,99,0,0,0,0,,,,
BASSTA,2010,1,2,14,-0.3,,,,,,,,982.2,,2.1,,128,61.7,110,0,0,0,0,,,,
BASSTA,2010,1,2,15,-0.8,,,,,,,,983,,3.2,,33,0,62,0,0,0,0,,,,
BASSTA,2010,1,2,16,-1.8,,,,,,,,983.5,,2.2,,1,0,44,0,0,0,0,,,,
BASSTA,2010,1,2,17,-2.3,,,,,,,,984.1,,2.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,18,-2.6,,,,,,,,984.4,,2.8,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,19,-2.9,,,,,,,,984.4,,3.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,20,-3.2,,,,,,,,984.3,,3.2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,21,-3.5,,,,,,,,984.4,,1.9,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,22,-3.6,,,,,,,,984.7,,1,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,2,23,-4.1,,,,,,,,984.7,,0.9,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,0,-4.5,,,,,,,,984.6,,1.1,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,1,-4.7,,,,,,,,984.6,,1,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,2,-5.1,,,,,,,,984.6,,1.3,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,3,-5.3,,,,,,,,984.3,,1.5,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,4,-5.5,,,,,,,,984.3,,1.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,5,-5.6,,,,,,,,983.9,,1.8,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,6,-5.7,,,,,,,,983.5,,1.8,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,7,-5.9,,,,,,,,983.6,,1.8,,3,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,8,-5.6,,,,,,,,983.9,,2,,52,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,9,-4.4,,,,,,,,984,,2,,180,959.6,97,0,0,0,0,,,,
BASSTA,2010,1,3,10,-3.1,,,,,,,,983.6,,2.1,,256,787.8,97,0,0,0,0,,,,
BASSTA,2010,1,3,11,-1.6,,,,,,,,982.7,,1.8,,298,733,89,0,0,0,0,,,,
BASSTA,2010,1,3,12,0,,,,,,,,982.2,,0.9,,296,660.9,78,0,0,0,0,,,,
BASSTA,2010,1,3,13,0.8,,,,,,,,981.8,,1,,237,501.7,70,0,0,0,0,,,,
BASSTA,2010,1,3,14,0.9,,,,,,,,981.7,,1.3,,131,234.8,62,0,0,0,0,,,,
BASSTA,2010,1,3,15,0.1,,,,,,,,981.6,,1.8,,21,0,42,0,0,0,0,,,,
BASSTA,2010,1,3,16,-0.7,,,,,,,,981.3,,2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,17,-1.5,,,,,,,,981.2,,2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,18,-1.9,,,,,,,,981.3,,2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,19,-2.5,,,,,,,,980.9,,1.9,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,20,-3.2,,,,,,,,980.6,,1.9,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,21,-3.8,,,,,,,,980.5,,2.1,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,22,-4.3,,,,,,,,980.3,,1.6,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,3,23,-4.7,,,,,,,,979.9,,1.9,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,4,0,-4.9,,,,,,,,979.4,,2.2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,4,1,-5.3,,,,,,,,979,,1.7,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,4,2,-6.2,,,,,,,,978.7,,1.2,,0,0,0,0,0,0,0,,,,
BASSTA,2010,1,4,3,-7,,,,,,,,978.5,,0.6,,0,0,0,0,0,0,0,,,,
