station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
KLO,2010,1,1,0,2.3,,,,,,,,942.3,,1.5,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,1,2.6,,,,,,,,942.1,,1.1,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,2,2.7,,,,,,,,941.6,,1.1,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,3,2.9,,,,,,,,941.1,,1.4,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,4,2.8,,,,,,,,940.9,,1.1,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,5,2.7,,,,,,,,940.7,,2.1,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,6,2.5,,,,,,,,940.6,,2.2,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,7,1.9,,,,,,,,940.6,,1.2,,2,0,0,0,0,0,0,,,,
KLO,2010,1,1,8,2.1,,,,,,,,941,,0.4,,23,0,0,0,0,0,0,,,,
KLO,2010,1,1,9,2.2,,,,,,,,941.5,,1,,38,16.4,36.4,0,0,0,0,,,,
KLO,2010,1,1,10,2.7,,,,,,,,942.1,,1.4,,58,4.9,57,0,0,0,0,,,,
KLO,2010,1,1,11,3.1,,,,,,,,942,,1,,65,3.2,64.1,0,0,0,0,,,,
KLO,2010,1,1,12,3.4,,,,,,,,942.1,,1.1,,59,2,58.3,0,0,0,0,,,,
KLO,2010,1,1,13,3.6,,,,,,,,942.6,,1,,25,0.4,24.9,0,0,0,0,,,,
KLO,2010,1,1,14,3.8,,,,,,,,943.3,,1,,24,0.4,23.9,0,0,0,0,,,,
KLO,2010,1,1,15,3.9,,,,,,,,944.2,,0.8,,5,0,5,0,0,0,0,,,,
KLO,2010,1,1,16,4,,,,,,,,945.3,,2.1,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,17,3.3,,,,,,,,946.7,,3.9,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,18,2.5,,,,,,,,948.3,,3.8,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,19,1.5,,,,,,,,950.1,,4.9,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,20,1,,,,,,,,951.8,,4,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,21,0.9,,,,,,,,953.2,,3.9,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,22,0.5,,,,,,,,954.2,,5.3,,0,0,0,0,0,0,0,,,,
KLO,2010,1,1,23,0.2,,,,,,,,955.2,,5.9,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,0,-0.2,,,,,,,,956.1,,5.4,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,1,-0.5,,,,,,,,957.3,,5.4,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,2,-0.9,,,,,,,,958.5,,4,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,3,-0.9,,,,,,,,959.5,,3.6,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,4,-1,,,,,,,,960.1,,5.2,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,5,-1.2,,,,,,,,960.9,,5.6,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,6,-1.5,,,,,,,,961.5,,4.5,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,7,-1.7,,,,,,,,962.7,,3.5,,1,0,0,0,0,0,0,,,,
KLO,2010,1,2,8,-1.7,,,,,,,,963.8,,3.8,,37,0,0,0,0,0,0,,,,
KLO,2010,1,2,9,-1.7,,,,,,,,964.7,,3,,71,299.2,42.6,0,0,0,0,,,,
KLO,2010,1,2,10,-1.2,,,,,,,,965.5,,4.6,,181,512.6,74.1,0,0,0,0,,,,
KLO,2010,1,2,11,-0.6,,,,,,,,966,,4.5,,316,907.7,53.4,0,0,0,0,,,,
KLO,2010,1,2,12,-1.1,,,,,,,,966.8,,3.2,,104,6.4,101.9,0,0,0,0,,,,
KLO,2010,1,2,13,-0.7,,,,,,,,967.4,,3.9,,226,208.4,157,0,0,0,0,,,,
KLO,2010,1,2,14,-0.8,,,,,,,,968.2,,3.3,,129,28.1,120.9,0,0,0,0,,,,
KLO,2010,1,2,15,-1.5,,,,,,,,968.9,,2.8,,45,3,44.4,0,0,0,0,,,,
KLO,2010,1,2,16,-2.6,,,,,,,,969.5,,2.3,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,17,-3.3,,,,,,,,970.3,,1.4,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,18,-3.7,,,,,,,,970.6,,1.6,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,19,-4.1,,,,,,,,970.9,,1.3,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,20,-5.2,,,,,,,,970.9,,0.9,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,21,-5.4,,,,,,,,970.9,,0.8,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,22,-5.6,,,,,,,,971,,1.3,,0,0,0,0,0,0,0,,,,
KLO,2010,1,2,23,-6.5,,,,,,,,971.1,,1.9,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,0,-6.6,,,,,,,,971,,1.6,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,1,-6.7,,,,,,,,971.2,,1.8,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,2,-6.9,,,,,,,,971.2,,2.2,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,3,-6.8,,,,,,,,970.8,,2.2,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,4,-6.9,,,,,,,,970.8,,1.9,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,5,-7.3,,,,,,,,970.6,,2.3,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,6,-7.2,,,,,,,,970.3,,1.7,,0,0,0,0,0,0,0,,,,
KLO,2010,1,3,7,-7.4,,,,,,,,970.4,,2.1,,5,0,0,0,0,0,0,,,,
KLO,2010,1,3,8,-5.9,,,,,,,,970.7,,2,,89,0,0,0,0,0,0,,,,
KLO,2010,1,3,9,-4.1,,,,,,,,970.7,,2.7,,207,1810.6,34.2,0,0,0,0,,,,
KLO,2010,1,3,10,-2.7,,,,,,,,970.5,,1.6,,298,1189.2,49.2,0,0,0,0,,,,
KLO,2010,1,3,11,-1.9,,,,,,,,969.3,,1.2,,344,989.2,56.8,0,0,0,0,,,,
KLO,2010,1,3,12,-1,,,,,,,,968.9,,1.2,,337,790.4,74.1,0,0,0,0,,,,
KLO,2010,1,3,13,-0.7,,,,,,,,968.5,,1.2,,282,473.2,124.5,0,0,0,0,,,,
KLO,2010,1,3,14,-0.6,,,,,,,,968.5,,1.5,,179,132.5,140.4,0,0,0,0,,,,
